,#_Layers,#_Nodes,Learning_Rate,Max_reuse,L2_Penalty,R^2,sigma_R^2,AIC,sigma_AIC,Explained_Variance,sigma_Explained_Variance,Mean_Squared_Error,sigma_Mean_Squared_Error
0,7,5,0.01,500,0.0001,0.7722904915099897,0.6166582398641846,422.9593690958698,1.544001026522965,0.5510209823843574,0.31439849440028494,0.011993484041901453,0.007540313985048584
1,7,5,0.011,500,0.0001,0.7312197432298367,0.7799844273439712,422.6277222450929,1.5968035814221662,0.2906674692889083,0.3786145457112943,0.02235422505297068,0.01898429028954703
2,7,5,0.012,500,0.0001,0.8926164892630318,0.13371743741756367,424.46269728001533,1.1609107871916566,0.7869380730337544,0.1363738483104137,0.004379997797729233,0.002230783750329741
3,7,5,0.013,500,0.0001,0.8516167430574251,0.3684187029038909,423.8159135569021,1.6062223868866434,0.6498169894911545,0.37517017096343935,0.008494718504896241,0.008245516035109573
4,7,5,0.014,500,0.0001,0.7990839749266803,0.7115767101140323,423.2097364878494,1.7873331367404486,0.43873514201964264,0.39214132206993163,0.021769075144353972,0.01962155067737173
5,7,5,0.015,500,0.0001,0.9222274594891329,0.7261262563954896,425.10793371966196,2.8307272605249216,0.48063375430082983,0.458764821229206,0.013286861103307407,0.01212325270510563
6,7,5,0.016,500,0.0001,0.8774234290385776,1.0224418261908783,424.19803875039764,2.484365609129792,0.5514360344976301,0.35921564029919795,0.01161544995107163,0.011915121879551632
7,7,5,0.017,500,0.0001,0.8168611898499911,0.771605118375754,423.3950217765317,2.1122761012297135,0.49689002935346116,0.47816331199053164,0.019873314129471194,0.02238583209576834
8,7,5,0.018,500,0.0001,0.9190165240305306,1.0034388518864905,425.02702029099504,2.9619666326888705,0.3493059737492425,0.4804416029226139,0.018693684014884936,0.012493930955161112
9,7,5,0.019,500,0.0001,0.8748295075428321,0.6942243896141165,424.15615706268653,1.963998615645191,0.54705396964168,0.34582069820270733,0.01573481803216053,0.015610488467949282
10,7,5,0.02,500,0.0001,0.685020931632474,0.593147208967208,422.31049818398253,1.4709082406678857,0.30488664627184237,0.3693754678577424,0.026178101643655114,0.02413259843723838
